_n,w,Average fitness,Average fitness deviation,Fitness median,Maximum fitness,Minimum fitness,Standard fitness deviation,Fitness range,Selection,Crossover,Mutation
208,9,18.85,5.8,16.88,40.15,11.12,7.37,29.03,Elitism,Uniform,Flipbit
209,10,21.49,7.93,18.73,41.62,11.4,9.5,30.22,Elitism,Uniform,Flipbit
210,11,24.95,8.64,22.22,61.35,11.15,11.54,50.2,Elitism,Uniform,Flipbit
211,12,24.68,5.04,23.74,38.94,11.76,6.69,27.18,Elitism,Uniform,Flipbit
212,13,18.61,6.9,13.81,36.05,11.25,7.81,24.8,Elitism,Uniform,Flipbit
213,14,18.4,4.13,17.93,31.47,11.09,5.09,20.38,Elitism,Uniform,Flipbit
214,15,20.29,6.15,20.84,31.69,11.34,7.03,20.35,Elitism,Uniform,Flipbit
215,16,17.21,5.97,13.65,45.22,11.07,8.01,34.15,Elitism,Uniform,Flipbit
216,17,18.3,5.7,15.27,32.84,11.07,6.7,21.77,Elitism,Uniform,Flipbit
217,18,18.15,6.03,14.69,45.75,11.3,8.09,34.45,Elitism,Uniform,Flipbit
218,19,17.78,3.32,17.96,24.65,12,3.81,12.65,Elitism,Uniform,Flipbit
219,20,19.69,5.99,19.5,40.7,11.79,7.75,28.91,Elitism,Uniform,Flipbit
220,1,22.07,5.4,23.05,34.3,10.01,6.93,24.29,Elitism,Uniform,Gaussian
221,2,26.02,6.64,30.62,35.25,7.91,7.82,27.34,Elitism,Uniform,Gaussian
222,3,29.6,5.99,30.97,73.38,20.85,11.07,52.53,Elitism,Uniform,Gaussian
223,4,24.92,6.63,30.09,31.15,10.85,7.39,20.3,Elitism,Uniform,Gaussian
224,5,24.55,6.61,26.15,31.2,10.85,7.38,20.35,Elitism,Uniform,Gaussian
225,6,24.55,5.95,21.15,31.2,10.85,6.64,20.35,Elitism,Uniform,Gaussian
226,7,25.59,6.67,31.15,31.2,10.85,7.5,20.35,Elitism,Uniform,Gaussian
227,8,24.56,7.25,31.15,31.2,0.85,8.64,30.35,Elitism,Uniform,Gaussian
228,9,25.08,6.68,31.15,31.2,10.85,7.45,20.35,Elitism,Uniform,Gaussian
229,10,22.5,6.06,20.85,31.2,10.85,7.36,20.35,Elitism,Uniform,Gaussian
230,11,22.52,6.05,21,31.2,10.85,7.36,20.35,Elitism,Uniform,Gaussian
231,12,19.97,7.36,20.85,31.2,0.85,8.99,30.35,Elitism,Uniform,Gaussian
232,13,17.91,7.36,20.85,31.2,0.85,8.52,30.35,Elitism,Uniform,Gaussian
233,14,19.94,6.36,20.85,31.2,10.85,7.79,20.35,Elitism,Uniform,Gaussian
234,15,20.46,6.73,20.85,31.2,10.85,8.17,20.35,Elitism,Uniform,Gaussian
235,16,19.96,8.2,20.85,31.2,10.85,9.02,20.35,Elitism,Uniform,Gaussian
236,17,18.94,6.47,20.85,31.2,10.85,7.59,20.35,Elitism,Uniform,Gaussian
237,18,20.43,3.83,20.85,31.2,10.85,5.98,20.35,Elitism,Uniform,Gaussian
238,19,20.44,3.84,20.85,31.2,10.85,5.98,20.35,Elitism,Uniform,Gaussian
239,20,18.91,6.45,20.85,31.2,10.85,7.58,20.35,Elitism,Uniform,Gaussian
